Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
93256,986665,7368 LOCKING WALL CABINET 5SHARPS CONTAINER,N/A,O Non Stock Inactive,7368,N/A,1,4190 HOSPECO,N/A,Noel Marucut,50.55,50.55
117475,986965,16" TOP-DOWN CHARGING BUCKET 5GAL BLUE GRAY HANDLE W/COVER,N/A,O Non Stock Inactive,0000SE1322A,N/A,8,3206 FILMOP USA LLC,N/A,Noel Marucut,32.26,258.08
127146,987175,2456-DS PURELL DISPENSER STAND 1/CS ELITE LTX  S/O,N/A,O Non Stock Inactive,2456-DS,N/A,1,GOJO INDUSTRIES INC.,N/A,Noel Marucut,550,550.00
103675,987395,6942 ENZYME DRAIN CLEANER 5GALDEVOUR IT,N/A,O Non Stock Inactive,6942,N/A,9,11174 STARCO CHEMICAL CO,N/A,Noel Marucut,109.85,988.65
127147,987460,NON-SCRATCH SCRUB/SPONGE 8/3CT #MMMMP3CT SCOTCH-BRITE S/O,N/A,O Non Stock Inactive,MMMMP3CT,N/A,8,S.P. RICHARDS COMPANY,N/A,Noel Marucut,2.79,22.32
93436,990927,PX30ES REPLACEMENT TANKPROTEXUS,N/A,O Non Stock Inactive,PX30ES,N/A,1,2936 EARTHSAFE CHEMICAL ALTERNATIVE,N/A,Noel Marucut,14,14.00
87169,992083,GK-AXCESS VAC BAG  10/PK10PK/CS,N/A,O Non Stock Inactive,GK-AXCESS,N/A,30,3861 GREEN KLEAN,N/A,Noel Marucut,8.99,269.70
87180,995304,GK-OR-EXTRA LARGE VAC BAG 8PKORECK STYLE,N/A,O Non Stock Inactive,GK-OR-XL,N/A,2,3861 GREEN KLEAN,N/A,Noel Marucut,4.57,9.14
87183,995334,GK-CARPTWIN VAC BAG 10/PK,N/A,N Stock Active,GK-CARPTWIN,N/A,8,3861 GREEN KLEAN,N/A,Noel Marucut,6.08,48.64
87185,995499,GK-PT565 CLOTH BAGSUPER COACH,N/A,O Non Stock Inactive,GK-PT565,N/A,6,3861 GREEN KLEAN,N/A,Noel Marucut,4.88,29.28
87187,995546,GK-ADGIL6XP VAC BAG 2EALL PURPOSEK10PK/CS F/ADVANCE ADGILITY,N/A,O Non Stock Inactive,GK-ADGIL6XP,N/A,5,3861 GREEN KLEAN,N/A,Noel Marucut,5.89,29.45
109780,995805,GK-EURSL VAC BAG 3/PK EUREKA S782  SC785 SANITAIRE,N/A,O Non Stock Inactive,GK-EURSL,N/A,7,3861 GREEN KLEAN,N/A,Noel Marucut,1.7,11.90
125727,998642,GK-EURMM PAPER BAG 3/PK 12PK/CS MIGHTY MITE CANISTER,N/A,O Non Stock Inactive,GK-EURMM,N/A,6,3861 GREEN KLEAN,N/A,Noel Marucut,25.44,152.64
103249,R513155,6100176 APEX SOLID QUAT2/2# BROAD RANGE SANITIZER,N/A,N Stock Active,6100176,N/A,10,2830 ECOLAB INC.,N/A,Noel Marucut,115.85,1158.50
87784,R517158,MOP HEAD #24 RAYON CUT 121.25 BAND,N/A,N Stock Active,2324,N/A,3,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,54,162.00
